"GEO_ID","NAME","P1_001N",
# "Geography","Geographic Area Name"," !!Total",
"860Z200US11434","ZCTA5 11434","66964",
"860Z200US11435","ZCTA5 11435","58980",
"860Z200US11436","ZCTA5 11436","20620",
"860Z200US11439","ZCTA5 11439","2376",
"860Z200US11451","ZCTA5 11451","1",
"860Z200US11501","ZCTA5 11501","21189",
"860Z200US11507","ZCTA5 11507","7449",
"860Z200US11509","ZCTA5 11509","2433",
"860Z200US11510","ZCTA5 11510","34617",
"860Z200US11514","ZCTA5 11514","4635",
"860Z200US11516","ZCTA5 11516","8394",
"860Z200US11518","ZCTA5 11518","10869",
"860Z200US11520","ZCTA5 11520","45121",
"860Z200US11530","ZCTA5 11530","28851",
"860Z200US11542","ZCTA5 11542","29171",
"860Z200US11545","ZCTA5 11545","12008",
"860Z200US11547","ZCTA5 11547","995",
"860Z200US11548","ZCTA5 11548","2313",
"860Z200US11549","ZCTA5 11549","2337",
"860Z200US11550","ZCTA5 11550","61901",
"860Z200US11552","ZCTA5 11552","24903",
"860Z200US11553","ZCTA5 11553","26929",
"860Z200US11554","ZCTA5 11554","37796",
"860Z200US11556","ZCTA5 11556","18",
"860Z200US11557","ZCTA5 11557","8659",
"860Z200US11558","ZCTA5 11558","8954",
"860Z200US11559","ZCTA5 11559","8709",
"860Z200US11560","ZCTA5 11560","6860",
"860Z200US11561","ZCTA5 11561","39132",
"860Z200US11563","ZCTA5 11563","23349",
"860Z200US11565","ZCTA5 11565","8845",
"860Z200US11566","ZCTA5 11566","35147",
"860Z200US11568","ZCTA5 11568","4168",
"860Z200US11569","ZCTA5 11569","1527",
"860Z200US11570","ZCTA5 11570","29023",
"860Z200US11572","ZCTA5 11572","31157",
"860Z200US11575","ZCTA5 11575","18048",
"860Z200US11576","ZCTA5 11576","12962",
"860Z200US11577","ZCTA5 11577","12695",
"860Z200US11579","ZCTA5 11579","5039",
"860Z200US11580","ZCTA5 11580","43026",
"860Z200US11581","ZCTA5 11581","23183",
"860Z200US11590","ZCTA5 11590","47838",
"860Z200US11596","ZCTA5 11596","10849",
"860Z200US11598","ZCTA5 11598","14515",
"860Z200US11691","ZCTA5 11691","64673",
"860Z200US11692","ZCTA5 11692","22776",
"860Z200US11693","ZCTA5 11693","12467",
"860Z200US11694","ZCTA5 11694","19780",
"860Z200US11697","ZCTA5 11697","4468",
"860Z200US11701","ZCTA5 11701","27831",
"860Z200US11702","ZCTA5 11702","14580",
"860Z200US11703","ZCTA5 11703","16635",
"860Z200US11704","ZCTA5 11704","40367",
"860Z200US11705","ZCTA5 11705","7951",
"860Z200US11706","ZCTA5 11706","66263",
"860Z200US11709","ZCTA5 11709","6748",
"860Z200US11710","ZCTA5 11710","35155",
"860Z200US11713","ZCTA5 11713","10970",
"860Z200US11714","ZCTA5 11714","22989",
"860Z200US11715","ZCTA5 11715","4423",
"860Z200US11716","ZCTA5 11716","10315",
"860Z200US11717","ZCTA5 11717","62193",
"860Z200US11718","ZCTA5 11718","3181",
"860Z200US11719","ZCTA5 11719","3447",
"860Z200US11720","ZCTA5 11720","28623",
"860Z200US11721","ZCTA5 11721","6318",
"860Z200US11722","ZCTA5 11722","37491",
"860Z200US11724","ZCTA5 11724","3268",
"860Z200US11725","ZCTA5 11725","28838",
"860Z200US11726","ZCTA5 11726","20763",
"860Z200US11727","ZCTA5 11727","29716",
"860Z200US11729","ZCTA5 11729","28569",
"860Z200US11730","ZCTA5 11730","14523",
"860Z200US11731","ZCTA5 11731","30353",
"860Z200US11732","ZCTA5 11732","3638",
"860Z200US11733","ZCTA5 11733","17967",
"860Z200US11735","ZCTA5 11735","32989",
"860Z200US11738","ZCTA5 11738","16732",
"860Z200US11739","ZCTA5 11739","1385",
"860Z200US11740","ZCTA5 11740","9593",
"860Z200US11741","ZCTA5 11741","27046",
"860Z200US11742","ZCTA5 11742","12699",
"860Z200US11743","ZCTA5 11743","41522",
"860Z200US11746","ZCTA5 11746","69040",
"860Z200US11747","ZCTA5 11747","20133",
"860Z200US11749","ZCTA5 11749","3567",
"860Z200US11751","ZCTA5 11751","14790",
"860Z200US11752","ZCTA5 11752","9758",
"860Z200US11753","ZCTA5 11753","13084",
"860Z200US11754","ZCTA5 11754","18472",
"860Z200US11755","ZCTA5 11755","12118",
"860Z200US11756","ZCTA5 11756","42501",
"860Z200US11757","ZCTA5 11757","45157",
"860Z200US11758","ZCTA5 11758","54226",
"860Z200US11762","ZCTA5 11762","22439",
"860Z200US11763","ZCTA5 11763","29055",
"860Z200US11764","ZCTA5 11764","12566",
"860Z200US11765","ZCTA5 11765","701",
"860Z200US11766","ZCTA5 11766","11888",
"860Z200US11767","ZCTA5 11767","14379",
"860Z200US11768","ZCTA5 11768","21433",
"860Z200US11769","ZCTA5 11769","9250",
"860Z200US11770","ZCTA5 11770","331",
"860Z200US11771","ZCTA5 11771","10322",
"860Z200US11772","ZCTA5 11772","44459",
"860Z200US11776","ZCTA5 11776","24205",
"860Z200US11777","ZCTA5 11777","9346",
"860Z200US11778","ZCTA5 11778","12449",
"860Z200US11779","ZCTA5 11779","38250",
"860Z200US11780","ZCTA5 11780","15508",
"860Z200US11782","ZCTA5 11782","15682",
"860Z200US11783","ZCTA5 11783","21299",
"860Z200US11784","ZCTA5 11784","24794",
"860Z200US11786","ZCTA5 11786","6287",
"860Z200US11787","ZCTA5 11787","35361",
"860Z200US11788","ZCTA5 11788","16273",
"860Z200US11789","ZCTA5 11789","7640",
"860Z200US11790","ZCTA5 11790","21519",
"860Z200US11791","ZCTA5 11791","25879",
"860Z200US11792","ZCTA5 11792","8528",
"860Z200US11793","ZCTA5 11793","32121",
"860Z200US11794","ZCTA5 11794","1779",
"860Z200US11795","ZCTA5 11795","25344",
"860Z200US11796","ZCTA5 11796","3676",
"860Z200US11797","ZCTA5 11797","9452",
"860Z200US11798","ZCTA5 11798","17215",
"860Z200US11801","ZCTA5 11801","41779",
"860Z200US11803","ZCTA5 11803","30049",
"860Z200US11804","ZCTA5 11804","4972",
"860Z200US11901","ZCTA5 11901","30936",
"860Z200US11930","ZCTA5 11930","2062",
"860Z200US11931","ZCTA5 11931","40",
"860Z200US11932","ZCTA5 11932","2129",
"860Z200US11933","ZCTA5 11933","6899",
"860Z200US11934","ZCTA5 11934","8364",
"860Z200US11935","ZCTA5 11935","3432",
"860Z200US11937","ZCTA5 11937","19968",
"860Z200US11939","ZCTA5 11939","1048",
"860Z200US11940","ZCTA5 11940","5396",
"860Z200US11941","ZCTA5 11941","2605",
"860Z200US11942","ZCTA5 11942","5571",
"860Z200US11944","ZCTA5 11944","4801",
"860Z200US11946","ZCTA5 11946","15535",
"860Z200US11947","ZCTA5 11947","55",
"860Z200US11948","ZCTA5 11948","1212",
"860Z200US11949","ZCTA5 11949","14663",
"860Z200US11950","ZCTA5 11950","16233",
"860Z200US11951","ZCTA5 11951","13827",
"860Z200US11952","ZCTA5 11952","4701",
"860Z200US11953","ZCTA5 11953","13249",
"860Z200US11954","ZCTA5 11954","4318",
"860Z200US11955","ZCTA5 11955","3258",
"860Z200US11956","ZCTA5 11956","405",
"860Z200US11957","ZCTA5 11957","1004",
"860Z200US11958","ZCTA5 11958","691",
"860Z200US11959","ZCTA5 11959","1657",
"860Z200US11960","ZCTA5 11960","1688",
"860Z200US11961","ZCTA5 11961","13042",
"860Z200US11962","ZCTA5 11962","1099",
"860Z200US11963","ZCTA5 11963","8384",
"860Z200US11964","ZCTA5 11964","2470",
"860Z200US11965","ZCTA5 11965","766",
"860Z200US11967","ZCTA5 11967","26213",
"860Z200US11968","ZCTA5 11968","14467",
"860Z200US11970","ZCTA5 11970","454",
"860Z200US11971","ZCTA5 11971","6105",
"860Z200US11972","ZCTA5 11972","1013",
"860Z200US11973","ZCTA5 11973","17",
"860Z200US11975","ZCTA5 11975","656",
"860Z200US11976","ZCTA5 11976","2764",
"860Z200US11977","ZCTA5 11977","2837",
"860Z200US11978","ZCTA5 11978","4087",
"860Z200US11980","ZCTA5 11980","4931",
"860Z200US12007","ZCTA5 12007","260",
"860Z200US12008","ZCTA5 12008","475",
"860Z200US12009","ZCTA5 12009","7874",
"860Z200US12010","ZCTA5 12010","28845",
"860Z200US12015","ZCTA5 12015","3509",
"860Z200US12017","ZCTA5 12017","358",
"860Z200US12018","ZCTA5 12018","7626",
"860Z200US12019","ZCTA5 12019","15826",
"860Z200US12020","ZCTA5 12020","34667",
"860Z200US12022","ZCTA5 12022","896",
"860Z200US12023","ZCTA5 12023","2036",
"860Z200US12024","ZCTA5 12024","172",
"860Z200US12025","ZCTA5 12025","5356",
"860Z200US12027","ZCTA5 12027","3958",
"860Z200US12028","ZCTA5 12028","1078",
"860Z200US12029","ZCTA5 12029","1029",
"860Z200US12031","ZCTA5 12031","118",
"860Z200US12032","ZCTA5 12032","834",
"860Z200US12033","ZCTA5 12033","8076",
"860Z200US12035","ZCTA5 12035","692",
"860Z200US12036","ZCTA5 12036","232",
"860Z200US12037","ZCTA5 12037","3895",
"860Z200US12040","ZCTA5 12040","38",
"860Z200US12041","ZCTA5 12041","425",
"860Z200US12042","ZCTA5 12042","403",
"860Z200US12043","ZCTA5 12043","7883",
"860Z200US12045","ZCTA5 12045","662",
"860Z200US12046","ZCTA5 12046","646",
"860Z200US12047","ZCTA5 12047","23347",
"860Z200US12051","ZCTA5 12051","5771",
"860Z200US12052","ZCTA5 12052","1535",
"860Z200US12053","ZCTA5 12053","4142",
"860Z200US12054","ZCTA5 12054","17282",
"860Z200US12056","ZCTA5 12056","2192",
"860Z200US12057","ZCTA5 12057","1842",
"860Z200US12058","ZCTA5 12058","1523",
"860Z200US12059","ZCTA5 12059","1482",
"860Z200US12060","ZCTA5 12060","1411",
"860Z200US12061","ZCTA5 12061","9404",
"860Z200US12062","ZCTA5 12062","1878",
"860Z200US12063","ZCTA5 12063","443",
"860Z200US12064","ZCTA5 12064","427",
"860Z200US12065","ZCTA5 12065","43893",
"860Z200US12066","ZCTA5 12066","2007",
"860Z200US12067","ZCTA5 12067","1513",
"860Z200US12068","ZCTA5 12068","2899",
"860Z200US12069","ZCTA5 12069","225",
"860Z200US12070","ZCTA5 12070","1475",
"860Z200US12071","ZCTA5 12071","277",
"860Z200US12072","ZCTA5 12072","3016",
"860Z200US12074","ZCTA5 12074","2901",
