source,destination,flow
Hainan,Jilin,1120510
Hainan,Liaoning,1988927
Hainan,Macau,117403
Hainan,Ningxia,445861
Hainan,Qinghai,233556
Hainan,Shaanxi,3185398
Hainan,Shandong,2757223
Hainan,Shanghai,6432793
Hainan,Shanxi,1836383
Hainan,Sichuan,3847303
Hainan,Taiwan,233944
Hainan,Tianjin,2170967
Hainan,Tibet,7556
Hainan,Xinjiang,597752
Hainan,Yunnan,2047006
Hainan,Zhejiang,4470344
Hebei,Anhui,169343
Hebei,Beijing,2060
Hebei,Chongqing,1001216
Hebei,Fujian,1001376
Hebei,Gansu,462047
Hebei,Guangdong,2235068
Hebei,Guangxi,814443
Hebei,Guizhou,483969
Hebei,Hainan,1376796
Hebei,Hebei,1576500
Hebei,Heilongjiang,729835
Hebei,Henan,26762
Hebei,Hong Kong,43954
Hebei,Hubei,103028
Hebei,Hunan,146159
Hebei,Inner Mongolia,1099239
Hebei,Jiangsu,879198
Hebei,Jiangxi,451802
Hebei,Jilin,568834
Hebei,Liaoning,1335490
Hebei,Macau,206
Hebei,Ningxia,373312
Hebei,Qinghai,80256
Hebei,Shaanxi,376589
Hebei,Shandong,200194
Hebei,Shanghai,2083177
Hebei,Shanxi,47156
Hebei,Sichuan,1418646
Hebei,Taiwan,92845
Hebei,Tianjin,31194
Hebei,Tibet,15699
Hebei,Xinjiang,509851
Hebei,Yunnan,1136294
Hebei,Zhejiang,1855727
Heilongjiang,Anhui,648920
Heilongjiang,Beijing,5976288
Heilongjiang,Chongqing,696887
Heilongjiang,Fujian,775669
Heilongjiang,Gansu,169885
Heilongjiang,Guangdong,3479388
Heilongjiang,Guangxi,607570
Heilongjiang,Guizhou,392175
Heilongjiang,Hainan,2079993
Heilongjiang,Hebei,745993
Heilongjiang,Heilongjiang,2376127
Heilongjiang,Henan,1309110
Heilongjiang,Hong Kong,76689
Heilongjiang,Hubei,828116
Heilongjiang,Hunan,1049423
Heilongjiang,Inner Mongolia,1516032
Heilongjiang,Jiangsu,3388262
Heilongjiang,Jiangxi,896987
Heilongjiang,Jilin,87545
Heilongjiang,Liaoning,1517910
Heilongjiang,Macau,10243
Heilongjiang,Ningxia,386955
Heilongjiang,Qinghai,89673
Heilongjiang,Shaanxi,1291748
Heilongjiang,Shandong,7061168
Heilongjiang,Shanghai,4397096
Heilongjiang,Shanxi,756279
Heilongjiang,Sichuan,1127497
Heilongjiang,Taiwan,119857
Heilongjiang,Tianjin,1492863
Heilongjiang,Tibet,7622
Heilongjiang,Xinjiang,97498
Heilongjiang,Yunnan,856476
Heilongjiang,Zhejiang,2763190
Henan,Anhui,42755
Henan,Beijing,849322
Henan,Chongqing,2476815
Henan,Fujian,2900674
Henan,Gansu,890056
Henan,Guangdong,7891879
Henan,Guangxi,2345737
Henan,Guizhou,2107179
Henan,Hainan,4481154
Henan,Hebei,32426
Henan,Heilongjiang,1297609
Henan,Henan,2
Henan,Hong Kong,77829
Henan,Hubei,136154
Henan,Hunan,244962
Henan,Inner Mongolia,2272852
Henan,Jiangsu,527189
Henan,Jiangxi,1653177
Henan,Jilin,925336
Henan,Liaoning,2779941
Henan,Macau,59327
Henan,Ningxia,923810
Henan,Qinghai,877758
