Dep State Name,Arr State Name,Total Est. Pax,Time Series
Colorado,Mississippi,3668,2020-01
Colorado,Missouri,92340,2020-01
Colorado,Montana,26209,2020-01
Colorado,Nebraska,37118,2020-01
Colorado,Nevada,127165,2020-01
Colorado,New Hampshire,1953,2020-01
Colorado,New Jersey,177,2020-01
Colorado,New Mexico,22674,2020-01
Colorado,New York,178624,2020-01
Colorado,North Carolina,65196,2020-01
Colorado,North Dakota,13927,2020-01
Colorado,Ohio,60679,2020-01
Colorado,Oklahoma,33034,2020-01
Colorado,Oregon,50604,2020-01
Colorado,Pennsylvania,64609,2020-01
Colorado,Rhode Island,2577,2020-01
Colorado,South Carolina,16316,2020-01
Colorado,South Dakota,12327,2020-01
Colorado,Tennessee,68649,2020-01
Colorado,Texas,389844,2020-01
Colorado,Utah,80367,2020-01
Colorado,Vermont,2291,2020-01
Colorado,Virginia,18078,2020-01
Colorado,Washington,91887,2020-01
Colorado,West Virginia,1255,2020-01
Colorado,Wisconsin,33731,2020-01
Colorado,Wyoming,17737,2020-01
Connecticut,Alabama,2828,2020-01
Connecticut,Alaska,620,2020-01
Connecticut,Arizona,8188,2020-01
Connecticut,Arkansas,1465,2020-01
Connecticut,California,27919,2020-01
Connecticut,Colorado,8804,2020-01
Connecticut,District Of Columbia,15802,2020-01
Connecticut,Florida,188004,2020-01
Connecticut,Georgia,16584,2020-01
Connecticut,Hawaii,1340,2020-01
Connecticut,Idaho,408,2020-01
Connecticut,Illinois,19824,2020-01
Connecticut,Indiana,3875,2020-01
Connecticut,Iowa,1750,2020-01
Connecticut,Kansas,585,2020-01
Connecticut,Kentucky,2291,2020-01
Connecticut,Louisiana,5621,2020-01
Connecticut,Maine,3340,2020-01
Connecticut,Maryland,18497,2020-01
Connecticut,Massachusetts,8155,2020-01
Connecticut,Michigan,8975,2020-01
Connecticut,Minnesota,7715,2020-01
Connecticut,Mississippi,842,2020-01
Connecticut,Missouri,9538,2020-01
Connecticut,Montana,937,2020-01
Connecticut,Nebraska,1165,2020-01
Connecticut,Nevada,8312,2020-01
Connecticut,New Hampshire,1122,2020-01
Connecticut,New Jersey,1467,2020-01
Connecticut,New Mexico,1169,2020-01
Connecticut,New York,14465,2020-01
Connecticut,North Carolina,18650,2020-01
Connecticut,North Dakota,321,2020-01
Connecticut,Ohio,10871,2020-01
Connecticut,Oklahoma,2115,2020-01
Connecticut,Oregon,1844,2020-01
Connecticut,Pennsylvania,10797,2020-01
Connecticut,Rhode Island,559,2020-01
Connecticut,South Carolina,6379,2020-01
Connecticut,South Dakota,277,2020-01
Connecticut,Tennessee,8796,2020-01
Connecticut,Texas,23164,2020-01
Connecticut,Utah,2535,2020-01
Connecticut,Vermont,632,2020-01
Connecticut,Virginia,5335,2020-01
Connecticut,Washington,4317,2020-01
Connecticut,West Virginia,1162,2020-01
Connecticut,Wisconsin,3335,2020-01
Connecticut,Wyoming,424,2020-01
Delaware,District Of Columbia,843,2020-01
Delaware,Maine,553,2020-01
Delaware,Maryland,551,2020-01
Delaware,Massachusetts,1738,2020-01
Delaware,Michigan,142,2020-01
Delaware,New Hampshire,176,2020-01
Delaware,New Jersey,549,2020-01
Delaware,New York,5203,2020-01
Delaware,North Carolina,548,2020-01
Delaware,Ohio,203,2020-01
Delaware,Pennsylvania,669,2020-01
Delaware,Virginia,554,2020-01
District Of Columbia,Alabama,20093,2020-01
District Of Columbia,Alaska,2966,2020-01
District Of Columbia,Arizona,37710,2020-01
