source,destination,flow
District of Columbia,Iowa,198234
District of Columbia,Kansas,77521
District of Columbia,Kentucky,293990
District of Columbia,Louisiana,736887
District of Columbia,Maine,276953
District of Columbia,Maryland,65836
District of Columbia,Massachusetts,2371364
District of Columbia,Michigan,1000833
District of Columbia,Minnesota,815122
District of Columbia,Mississippi,121549
District of Columbia,Missouri,1191987
District of Columbia,Montana,155036
District of Columbia,Nebraska,276091
District of Columbia,Nevada,933254
District of Columbia,New Hampshire,150551
District of Columbia,New Jersey,46778
District of Columbia,New Mexico,223091
District of Columbia,New York,2261912
District of Columbia,North Carolina,1299475
District of Columbia,North Dakota,74724
District of Columbia,Ohio,1337531
District of Columbia,Oklahoma,319580
District of Columbia,Oregon,429346
District of Columbia,Pennsylvania,400700
District of Columbia,Rhode Island,387936
District of Columbia,South Carolina,892917
District of Columbia,South Dakota,79704
District of Columbia,Tennessee,1082187
District of Columbia,Texas,3836427
District of Columbia,Utah,466787
District of Columbia,Vermont,158865
District of Columbia,Virginia,215787
District of Columbia,Washington,1108972
District of Columbia,West Virginia,103890
District of Columbia,Wisconsin,472385
District of Columbia,Wyoming,60897
Florida,Alabama,1270669
Florida,Alaska,246598
Florida,Arizona,2990983
Florida,Arkansas,910535
Florida,California,13286449
Florida,Colorado,7403766
Florida,Connecticut,3698224
Florida,Delaware,21470
Florida,District of Columbia,7251300
Florida,Florida,8861847
Florida,Georgia,11478037
Florida,Hawaii,548698
Florida,Idaho,305728
Florida,Illinois,16057340
Florida,Indiana,5550349
Florida,Iowa,1259961
Florida,Kansas,390696
Florida,Kentucky,2204741
Florida,Louisiana,3045969
Florida,Maine,1156464
Florida,Maryland,7535722
Florida,Massachusetts,10450870
Florida,Michigan,10226056
Florida,Minnesota,6107930
Florida,Mississippi,409421
Florida,Missouri,6124556
Florida,Montana,417866
Florida,Nebraska,989681
Florida,Nevada,4347348
Florida,New Hampshire,790212
Florida,New Jersey,1697498
Florida,New Mexico,509878
Florida,New York,41796828
Florida,North Carolina,9321022
Florida,North Dakota,370769
Florida,Ohio,12958423
Florida,Oklahoma,1303638
Florida,Oregon,1207837
Florida,Pennsylvania,16015258
Florida,Rhode Island,2307096
Florida,South Carolina,1814334
Florida,South Dakota,396249
Florida,Tennessee,7129480
Florida,Texas,18109629
Florida,Utah,1812789
Florida,Vermont,361026
Florida,Virginia,3499482
Florida,Washington,2696162
Florida,West Virginia,547900
Florida,Wisconsin,3546580
Florida,Wyoming,164966
Georgia,Alabama,430278
Georgia,Alaska,125621
Georgia,Arizona,1212478
Georgia,Arkansas,348121
Georgia,California,5532449
Georgia,Colorado,2322230
Georgia,Connecticut,419175
Georgia,Delaware,29
Georgia,District of Columbia,2286412
Georgia,Florida,11561685
Georgia,Georgia,693874
Georgia,Hawaii,309695
Georgia,Idaho,113896
Georgia,Illinois,3345645
Georgia,Indiana,859894
Georgia,Iowa,208058
Georgia,Kansas,148690
Georgia,Kentucky,452634
Georgia,Louisiana,1264241
Georgia,Maine,163743
Georgia,Maryland,1781786
Georgia,Massachusetts,1949236
Georgia,Michigan,1891133
Georgia,Minnesota,1123710
Georgia,Mississippi,320244
Georgia,Missouri,1440476
Georgia,Montana,164702
Georgia,Nebraska,230805
Georgia,Nevada,2223524
Georgia,New Hampshire,63888
Georgia,New Jersey,74845
Georgia,New Mexico,154826
Georgia,New York,7445129
Georgia,North Carolina,1995338
Georgia,North Dakota,64644
Georgia,Ohio,2329025
Georgia,Oklahoma,386804
Georgia,Oregon,387797
Georgia,Pennsylvania,2988576
Georgia,Rhode Island,194423
Georgia,South Carolina,769880
Georgia,South Dakota,71808
Georgia,Tennessee,1297597
Georgia,Texas,6536392
Georgia,Utah,711338
Georgia,Vermont,61917
Georgia,Virginia,1226001
Georgia,Washington,976231
Georgia,West Virginia,98176
Georgia,Wisconsin,744727
Georgia,Wyoming,80581
Hawaii,Alabama,51385
Hawaii,Alaska,287395
Hawaii,Arizona,924818
Hawaii,Arkansas,47047
Hawaii,California,12979911
Hawaii,Colorado,693009
Hawaii,Connecticut,30618
Hawaii,District of Columbia,308487
Hawaii,Florida,550294
Hawaii,Georgia,315779
Hawaii,Hawaii,20698734
Hawaii,Idaho,178568
Hawaii,Illinois,648423
Hawaii,Indiana,112376
Hawaii,Iowa,67693
Hawaii,Kansas,26594
Hawaii,Kentucky,45800
Hawaii,Louisiana,92891
Hawaii,Maine,13355
Hawaii,Maryland,178254
Hawaii,Massachusetts,332496
Hawaii,Michigan,239497
Hawaii,Minnesota,417982
Hawaii,Mississippi,17821
Hawaii,Missouri,305780
Hawaii,Montana,99013
Hawaii,Nebraska,96462
Hawaii,Nevada,1268930
Hawaii,New Hampshire,3847
Hawaii,New Jersey,5
Hawaii,New Mexico,79997
Hawaii,New York,903638
Hawaii,North Carolina,210767
Hawaii,North Dakota,32610
Hawaii,Ohio,227172
Hawaii,Oklahoma,88176
Hawaii,Oregon,1435182
Hawaii,Pennsylvania,254108
Hawaii,Rhode Island,14026
Hawaii,South Carolina,70180
Hawaii,South Dakota,29552
Hawaii,Tennessee,178759
Hawaii,Texas,1171358
Hawaii,Utah,566547
Hawaii,Vermont,6530
Hawaii,Virginia,110445
Hawaii,Washington,2530421
Hawaii,West Virginia,5359
Hawaii,Wisconsin,108294
Hawaii,Wyoming,12779
Idaho,Alabama,24222
Idaho,Alaska,80085
Idaho,Arizona,514087
Idaho,Arkansas,20231
Idaho,California,2172863
Idaho,Colorado,425686
Idaho,Connecticut,14270
Idaho,District of Columbia,108087
Idaho,Florida,300264
Idaho,Georgia,118033
Idaho,Hawaii,220242
Idaho,Idaho,33574
Idaho,Illinois,171869
Idaho,Indiana,51983
Idaho,Iowa,33327
Idaho,Kansas,21529
Idaho,Kentucky,20249
Idaho,Louisiana,47578
Idaho,Maine,7164
Idaho,Maryland,61028
Idaho,Massachusetts,64923
Idaho,Michigan,85100
Idaho,Minnesota,141110
Idaho,Mississippi,6834
Idaho,Missouri,148747
Idaho,Montana,144947
Idaho,Nebraska,49432
Idaho,Nevada,591490
Idaho,New Hampshire,3451
Idaho,New Mexico,51163
Idaho,New York,170404
Idaho,North Carolina,86318
Idaho,North Dakota,33872
Idaho,Ohio,101302
Idaho,Oklahoma,63196
